# t	x_rot	y_rot
0	-4.6	8.8
0.01	-4.6	8.80005
0.02	-4.59999	8.8001
0.03	-4.59999	8.80016
0.04	-4.59998	8.80021
0.05	-4.59998	8.80026
0.06	-4.59997	8.80031
0.07	-4.59996	8.80037
0.08	-4.59996	8.80042
0.09	-4.59995	8.80047
0.1	-4.59995	8.80052
0.11	-4.59994	8.80057
0.12	-4.59994	8.80063
0.13	-4.59993	8.80068
0.14	-4.59993	8.80073
0.15	-4.59992	8.80078
0.16	-4.59992	8.80083
0.17	-4.59991	8.80089
0.18	-4.59991	8.80094
0.19	-4.5999	8.80099
0.2	-4.5999	8.80104
0.21	-4.59989	8.80109
0.22	-4.59989	8.80115
0.23	-4.59988	8.8012
0.24	-4.59987	8.80125
0.25	-4.59987	8.8013
0.26	-4.59986	8.80135
0.27	-4.59986	8.80141
0.28	-4.59985	8.80146
0.29	-4.59985	8.80151
0.3	-4.59984	8.80156
0.31	-4.59984	8.80161
0.32	-4.59983	8.80167
0.33	-4.59982	8.80172
0.34	-4.59982	8.80177
0.35	-4.59981	8.80182
0.36	-4.59981	8.80187
0.37	-4.5998	8.80193
0.38	-4.59979	8.80198
0.39	-4.59979	8.80203
0.4	-4.59978	8.80208
0.41	-4.59978	8.80213
0.42	-4.59977	8.80219
0.43	-4.59976	8.80224
0.44	-4.59976	8.80229
0.45	-4.59975	8.80234
0.46	-4.59975	8.80239
0.47	-4.59974	8.80245
0.48	-4.59973	8.8025
0.49	-4.59973	8.80255
0.5	-4.59972	8.8026
0.51	-4.59972	8.80265
0.52	-4.59971	8.8027
0.53	-4.5997	8.80276
0.54	-4.5997	8.80281
0.55	-4.59969	8.80286
0.56	-4.59968	8.80291
0.57	-4.59968	8.80296
0.58	-4.59967	8.80301
0.59	-4.59966	8.80307
0.6	-4.59966	8.80312
0.61	-4.59965	8.80317
0.62	-4.59965	8.80322
0.63	-4.59964	8.80327
0.64	-4.59963	8.80332
0.65	-4.59963	8.80338
0.66	-4.59962	8.80343
0.67	-4.59961	8.80348
0.68	-4.59961	8.80353
0.69	-4.5996	8.80358
0.7	-4.59959	8.80363
0.71	-4.59959	8.80369
0.72	-4.59958	8.80374
0.73	-4.59957	8.80379
0.74	-4.59957	8.80384
0.75	-4.59956	8.80389
0.76	-4.59955	8.80394
0.77	-4.59954	8.804
0.78	-4.59954	8.80405
0.79	-4.59953	8.8041
0.8	-4.59952	8.80415
0.81	-4.59952	8.8042
0.82	-4.59951	8.80425
0.83	-4.5995	8.80431
0.84	-4.5995	8.80436
0.85	-4.59949	8.80441
0.86	-4.59948	8.80446
0.87	-4.59947	8.80451
0.88	-4.59947	8.80456
0.89	-4.59946	8.80461
